Type,FSWP-8
Version,3.01
Date,18.May 2026
VSupply,OFF
Mode,Voltage
2.0941123962,-40.4494438171
2.0989398956,-40.5504570007
2.1037786007,-40.5544281006
2.1086282730,-40.5867538452
2.1134889126,-40.6419677734
2.1183612347,-40.7543525696
2.1232445240,-40.8157806396
2.1281390190,-40.9097023010
2.1330449581,-40.9965705872
2.1379621029,-41.0029182434
2.1428906918,-41.0592498779
2.1478304863,-41.0985527039
2.1527817249,-41.1828269958
2.1577444077,-41.1839179993
2.1627185345,-41.2255287170
2.1677041054,-41.2521667480
2.1727013588,-41.3147964478
2.1777098179,-41.3147964478
2.1827299595,-41.3147964478
2.1877615452,-41.3147964478
2.1928048134,-41.3147964478
2.1978600025,-41.3147964478
2.2029263973,-41.3147964478
2.2080047131,-41.3147964478
2.2130947113,-41.3147964478
2.2181963921,-41.3147964478
2.2233099937,-41.3419647217
2.2284350395,-41.4797973633
2.2335722446,-41.5897216797
2.2387211323,-41.6686782837
2.2438819408,-41.6719093323
2.2490546703,-41.8657493591
2.2542390823,-41.9215278625
2.2594358921,-41.9644660950
2.2646441460,-42.0531501770
2.2698647976,-42.2555694580
2.2750973701,-42.4169578552
2.2803421021,-42.4713172913
2.2855987549,-42.5214042664
2.2908678055,-42.5387458801
2.2961485386,-42.5925331116
2.3014416695,-42.9170303345
2.3067471981,-42.9420318604
2.3120646477,-42.9420318604
2.3173947334,-42.9420318604
2.3227367401,-42.9420318604
2.3280913830,-42.9420318604
2.3334581852,-42.9420318604
2.3388371468,-42.9420318604
2.3442287445,-42.9420318604
2.3496327400,-42.9420318604
2.3550493717,-42.9420318604
2.3604781628,-42.9420318604
2.3659198284,-42.9420318604
2.3713736534,-42.9170303345
2.3768401146,-42.9170303345
2.3823194504,-42.9170303345
2.3878111839,-42.9170303345
2.3933157921,-42.9170303345
2.3988327980,-42.9348144531
2.4043629169,-42.9420318604
2.4099054337,-43.0144309998
2.4154608250,-43.0664176941
2.4210290909,-43.1909027100
2.4266099930,-43.2098159790
2.4322040081,-43.3100318909
2.4378108978,-43.3553504944
2.4434306622,-43.3561058044
2.4490633011,-43.3626632690
2.4547088146,-43.5122528076
2.4603676796,-43.6641426086
2.4660391808,-43.6849670410
2.4717242718,-43.7535133362
2.4774219990,-43.7883110046
2.4831330776,-43.8835029602
2.4888572693,-43.9186592102
2.4945948124,-43.9186592102
2.5003454685,-43.9186592102
2.5061092377,-43.9186592102
2.5118863583,-43.9186592102
2.5176768303,-43.9186592102
2.5234808922,-44.1354789734
2.5292980671,-44.3214836121
2.5351285934,-44.4171409607
2.5409727097,-44.6477966309
2.5468301773,-44.7998771667
2.5527012348,-44.9652366638
2.5585858822,-45.2134208679
2.5644841194,-45.3874740601
2.5703957081,-45.7249870300
2.5763211250,-45.7387466431
2.5822601318,-46.1327896118
2.5882127285,-46.2761764526
2.5941793919,-46.5835342407
2.6001594067,-46.8774414063
2.6061534882,-46.8970222473
2.6121613979,-47.0268135071
2.6181831360,-47.0550460815
2.6242184639,-47.1821022034
2.6302678585,-47.2345352173
2.6363313198,-47.4820976257
2.6424086094,-47.4853553772
2.6485002041,-47.5247192383
2.6546056271,-47.5592727661
2.6607251167,-47.6666793823
2.6668586731,-47.9126930237
2.6730062962,-48.0867691040
2.6791684628,-48.0867691040
2.6853444576,-48.0867691040
2.6915347576,-48.0867691040
2.6977393627,-48.0867691040
2.7039585114,-48.0867691040
2.7101917267,-48.0867691040
2.7164392471,-48.0867691040
2.7227013111,-48.0867691040
2.7289776802,-48.0867691040
2.7352688313,-48.0867691040
2.7415740490,-48.0968933105
2.7478942871,-48.3193740845
2.7542285919,-48.5392150879
2.7605779171,-48.7142982483
2.7669415474,-48.7705307007
2.7733199596,-48.8935852051
2.7797133923,-48.9377632141
2.7861211300,-49.0215263367
2.7925438881,-49.2189102173
2.7989811897,-49.2721214294
2.8054337502,-49.3927688599
2.8119008541,-49.4536132813
2.8183827400,-49.5789070129
2.8248801231,-49.6259460449
2.8313920498,-49.6382064819
2.8379189968,-49.6572265625
2.8444609642,-49.6576690674
2.8510184288,-49.7091751099
2.8575904369,-49.7284774780
2.8641779423,-49.8090629578
2.8707807064,-49.8611297607
2.8773982525,-49.9293746948
2.8840315342,-49.9630813599
2.8906798363,-49.9680595398
2.8973436356,-50.1253776550
2.9040226936,-50.1896018982
2.9107170105,-50.1903343201
